semester_no,subject_id,subject_name,credits,course_type,elective_group,is_required
1,MT1003,Giải tích 1,4,BẮT BUỘC,,True
1,CH1003,Hóa đại cương,3,BẮT BUỘC,,True
1,CH1001,Nhập môn về Kỹ thuật,3,BẮT BUỘC,,True
1,PH1003,Vật lý 1,4,BẮT BUỘC,,True
1,LA1003,Anh văn 1,2,BẮT BUỘC,,True
1,PE1061,Pickleball (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1057,Bowling (học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1053,Cờ vua (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1027,Quần vợt (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1019,Bơi (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1025,Điền kinh (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1017,Cầu lông (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1015,Bóng rổ (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1021,Aerobic (học Phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1013,Bóng bàn (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1011,Bóng chuyền (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1009,Bóng đá (Học phần 1),0,Thể dục (Chọn 1),PE,False
1,PE1023,"Võ (Vovinam, Karate, Taewondo) (Học phần 1)",0,Thể dục (Chọn 1),PE,False
2,MT1005,Giải tích 2,4,BẮT BUỘC,,True
2,PH1007,Thí nghiệm Vật lý,1,BẮT BUỘC,,True
2,CI1003,Vẽ kỹ thuật,3,BẮT BUỘC,,True
2,MT1007,Đại số Tuyến tính,3,BẮT BUỘC,,True
2,LA1005,Anh văn 2,2,BẮT BUỘC,,True
2,SP1007,Pháp luật Việt Nam Đại cương,2,BẮT BUỘC,,True
2,MI1003,Giáo dục Quốc phòng,0,BẮT BUỘC,,True
2,PE1059,Bowling (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1063,Pickleball (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1055,Cờ vua (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1051,Quần vợt (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1049,Điền kinh (học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1035,Bóng chuyền (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1039,Bóng rổ (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1043,Bơi (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1045,Aerobic (học Phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1033,Bóng đá (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1041,Cầu lông (Học phần 2),0,Thể dục (Chọn 1),PE,False
2,PE1047,"Võ (Vovinam, Karate, Taewondo) (Học phần 2)",0,Thể dục (Chọn 1),PE,False
2,PE1037,Bóng bàn (Học phần 2),0,Thể dục (Chọn 1),PE,False
3,LA1007,Anh văn 3,2,BẮT BUỘC,,True
3,SP1031,Triết học Mác - Lênin,3,BẮT BUỘC,,True
3,CH2027,Sinh học Đại cương,3,BẮT BUỘC,,True
3,CH2113,Hóa phân tích,3,BẮT BUỘC,,True
3,CH1005,Hóa lý Hóa keo,3,BẮT BUỘC,,True
3,CH2021,Hóa hữu cơ,3,BẮT BUỘC,,True
4,LA1009,Anh văn 4,2,BẮT BUỘC,,True
4,SP1033,Kinh tế Chính trị Mác - Lênin,2,BẮT BUỘC,,True
4,MT2013,Xác suất và Thống kê,4,BẮT BUỘC,,True
4,CH2033,Hóa sinh,4,BẮT BUỘC,,True
4,CH2111,Thí nghiệm Hóa hữu cơ Cơ bản,1,BẮT BUỘC,,True
4,CH2115,Thí nghiệm Hóa phân tích,1,BẮT BUỘC,,True
4,CH2015,Các quá trình Kỹ thuật Sinh học 1,3,BẮT BUỘC,,True
5,SP1035,Chủ nghĩa Xã hội Khoa học,2,BẮT BUỘC,,True
5,CH3437,Sinh học tế bào,3,BẮT BUỘC,,True
5,CH3003,Vi sinh vật (TN),4,BẮT BUỘC,,True
5,CH3439,Sinh học phân tử và di truyền,3,BẮT BUỘC,,True
5,CH2047,Quá trình kỹ thuật sinh học 2,3,BẮT BUỘC,,True
5,CH2093,Quá trình Sinh học 3,3,BẮT BUỘC,,True
6,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,BẮT BUỘC,,True
6,CH4161,Công nghệ gen,3,BẮT BUỘC,,True
6,CH3359,Công nghệ Lên men Vi sinh vật,4,BẮT BUỘC,,True
6,CH3375,Thực tập Ngoài trường,2,BẮT BUỘC,,True
6,CH3445,Quản lý chất lượng thực phẩm,3,TỰ CHỌN,,False
6,IM1023,Quản lý Sản xuất cho Kỹ sư,3,TỰ CHỌN,,False
6,ME1019,Quản lý năng suất và chất lượng,3,TỰ CHỌN,,False
6,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,TỰ CHỌN,,False
6,CH3401,Công nghệ sản xuất kháng sinh,3,TỰ CHỌN,,False
6,CH3409,Công nghệ Sản xuất Vitamin,3,TỰ CHỌN,,False
6,CH3403,Phương pháp đánh giá hoạt tính sinh học của các hợp chất tự nh,0,TỰ CHỌN,,False
6,CH3399,Công nghệ Sản xuất Vaccine,3,TỰ CHỌN,,False
6,CH3441,Sinh lý miễn dịch,3,TỰ CHỌN,,False
6,CH3407,Kỹ thuật nuôi cấy tế bào thực vật,3,TỰ CHỌN,,False
6,CH3391,Kỹ thuật thu nhận enzyme và ứng dụng,3,TỰ CHỌN,,False
6,CH3405,Công nghệ nuôi trồng nấm,3,TỰ CHỌN,,False
7,SP1037,Tư tưởng Hồ Chí Minh,2,BẮT BUỘC,,True
7,CH3021,Công nghệ Protein - Enzyme (+TN),4,BẮT BUỘC,,True
7,CH3019,Công nghệ Tế bào,4,BẮT BUỘC,,True
7,CH4057,Đồ án Công nghệ Sinh học,2,BẮT BUỘC,,True
7,CH4095,Đồ án Chuyên ngành,2,BẮT BUỘC,,True
8,CH4163,An toàn Sinh học,3,BẮT BUỘC,,True
8,CH3015,Thí nghiệm Quá trình Thiết bị,2,BẮT BUỘC,,True
8,CH4377,Đồ án Tốt nghiệp,4,BẮT BUỘC,,True
